data,id_foto,camera,rover,status_rover,sol,url_imagem
2023-09-01,1185574,MAST,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/msss/03935/mcam/3935ML1046910011505826I01_DXXX.jpg
2023-09-01,1185575,MAST,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/msss/03935/mcam/3935MR1046910011903707I01_DXXX.jpg
2023-09-01,1185576,MAST,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/msss/03935/mcam/3935ML1046910001505825I01_DXXX.jpg
2023-09-01,1185577,MAST,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/msss/03935/mcam/3935MR1046910001903706I01_DXXX.jpg
2023-09-01,1185096,CHEMCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ccam/CR0_746818216EDR_F1032442CCAM03934M_.JPG
2023-09-01,1185097,CHEMCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ccam/CR0_746817502EDR_F1032442CCAM03934M_.JPG
2023-09-01,1185098,CHEMCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/soas/rdr/ccam/CR0_746818216PRC_F1032442CCAM03934L1.PNG
2023-09-01,1185099,CHEMCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/soas/rdr/ccam/CR0_746817502PRC_F1032442CCAM03934L1.PNG
2023-09-01,1185578,MARDI,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/msss/03935/mrdi/3935MD0014670000301695E01_DXXX.jpg
2023-09-01,1185579,MARDI,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/msss/03935/mrdi/3935MD0014670000301695I01_DXXX.jpg
2023-09-01,1185077,NAVCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ncam/NLB_746817189EDR_F1032442CCAM03934M_.JPG
2023-09-01,1185078,NAVCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ncam/NRB_746828202EDR_F1032442NCAM00551M_.JPG
2023-09-01,1185079,NAVCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ncam/NRB_746828164EDR_F1032442NCAM00551M_.JPG
2023-09-01,1185080,NAVCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ncam/NRB_746828127EDR_F1032442NCAM00551M_.JPG
2023-09-01,1185081,NAVCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ncam/NRB_746828088EDR_F1032442NCAM00551M_.JPG
2023-09-01,1185082,NAVCAM,Curiosity,active,3935,https://mars.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/03935/opgs/edr/ncam/NRB_746828050EDR_F1032442NCAM00551M_.JPG
